Price,Rating,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
59890,4.5,No,LG,No,10,8,SSD,Intel,i5,Windows 10
30990,3.9,No,HP,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
82190,4.204958677685946,No,Dell,No,10,8,SSD,Intel,i5,Windows 10
42990,4.204958677685946,No,Lenovo,No,10,4,SSD,Intel,i3,Windows 10
38490,4.204958677685946,No,Acer,No,10,8,HDD,Intel,i3,Windows 10
62190,4.204958677685946,Yes,Dell,No,10,8,Both,Intel,i5,Windows 10
41990,4.204958677685946,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
46990,4.204958677685946,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
179990,4.2,No,HP,Yes,10,16,SSD,Intel,i7,Windows 10
33690,3.3,No,Asus,No,Not Mentioned,4,SSD,AMD,Ryzen 3,Windows 10
46990,4.3,No,Asus,Yes,10,4,SSD,Intel,i3,Windows 10
24990,3.8,No,HP,Yes,Not Mentioned,4,Not Metioned,Intel,Celeron,Mac
150490,4.5,Yes,Acer,No,10,16,SSD,Intel,i7,Windows 10
38990,4.1,No,HP,No,10,8,HDD,Intel,i3,Windows 10
72890,4.6,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
109990,4.5,Yes,MSI,No,10,16,Both,Intel,i7,Windows 10
53990,4.204958677685946,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
38990,4.204958677685946,No,Acer,No,10,8,SSD,Intel,i3,Windows 10
79990,4.204958677685946,No,Lenovo,No,10,8,Both,Intel,i7,Windows 10
99990,4.5,Yes,Asus,No,10,16,SSD,Intel,i7,Windows 10
87990,4.2,No,Lenovo,Yes,10,16,SSD,Intel,i7,Windows 10
66990,4.4,Yes,Acer,No,10,8,Both,Intel,i5,Windows 10
139990,4.4,Yes,MSI,No,10,32,Both,Intel,i7,Windows 10
207890,5.0,Yes,Dell,No,10,16,SSD,Intel,i9,Windows 10
72990,4.4,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
49990,4.204958677685946,No,Asus,Yes,10,8,SSD,Intel,i3,Windows 10
52490,3.4,No,Dell,Yes,10,4,SSD,Intel,i3,Windows 10
99990,4.5,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
59990,4.204958677685946,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
36990,4.7,No,MSI,No,10,8,SSD,Intel,i3,Windows 10
59999,4.4,Yes,Asus,No,10,8,SSD,Intel,i7,Windows 10
57990,4.2,Yes,HP,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
68990,4.204958677685946,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
154990,4.204958677685946,No,Asus,No,10,16,SSD,Intel,i7,Windows 10
62990,4.204958677685946,Yes,Acer,No,Not Mentioned,8,Both,AMD,Ryzen 5,Windows 10
67490,3.7,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
40999,4.2,No,Dell,No,10,4,SSD,Intel,i3,Windows 10
124990,5.0,Yes,Asus,No,10,16,SSD,Intel,i7,Windows 10
96990,4.3,Yes,MSI,No,10,16,Both,Intel,i7,Windows 10
34890,4.0,No,HP,No,Not Mentioned,4,HDD,AMD,Ryzen 5,DOS
